subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor
uepP002,7,4,1,SS,-4.0,8.0,2,1.5333361373891652,1,2.1638228779649453,276.9936772508253,283.69083626617936,0,6
uepP002,7,4,2,SS,-4.0,8.0,2,2.9278418331106772,1,2.8048245800060485,283.69083626617936,292.42350267929606,0,6
uepP002,7,4,3,SS,-4.0,8.0,2,1.12328664957009,1,2.992628460518696,292.42350267929606,299.53941778938486,0,6
uepP002,7,4,4,SS,-4.0,8.0,2,1.3129886748024537,1,3.1640904457362273,299.53941778938486,307.01649690992355,0,6
uepP002,7,4,5,SS,-4.0,8.0,2,1.2963396058376497,1,3.294732275591781,307.01649690992355,314.607568791353,0,6
uepP002,7,4,6,SS,-4.0,8.0,2,2.8568857374053964,1,3.0618075184817632,314.607568791353,323.52626204724015,0,6
uepP002,7,4,7,SS,-4.0,8.0,2,1.950968449622079,1,2.6462880405110867,323.52626204724015,331.1235185373733,0,6
uepP002,7,4,8,SS,-4.0,8.0,2,2.6838175346255735,1,3.684665867682587,331.1235185373733,340.4920019396815,0,6
uepP002,7,4,9,SS,-4.0,8.0,2,2.310509918142919,1,2.0575195073061137,340.4920019396815,347.8600313651305,0,6
uepP002,7,4,10,SS,-4.0,8.0,2,1.0473240566534208,1,2.79959009795828,347.8600313651305,354.7069455197422,0,6
