subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor
uep000,5,2,1,SR,-22.0,14.0,2,2.290562595657434,1,5.111922509521547,131.34556158585875,141.74804669103773,6,1
uep000,5,2,2,SR,-22.0,17.0,2,1.2383330701655333,1,5.145065860493935,141.74804669103773,151.1314456216972,6,1
uep000,5,2,3,SR,-22.0,9.0,2,1.8945386107106625,1,6.429679589945783,151.1314456216972,162.45566382235364,6,1
uep000,5,2,4,SR,-22.0,12.0,2,1.6864884477167663,1,5.795743125539898,162.45566382235364,172.9378953956103,6,1
uep000,5,2,5,SR,-22.0,17.0,2,2.119086030852957,1,6.695129024882368,172.9378953956103,184.75211045134563,6,1
uep000,5,2,6,SR,-22.0,13.0,2,1.1012492712076523,1,6.488464943230186,184.75211045134563,195.34182466578346,6,1
uep000,5,2,7,SR,-22.0,15.0,2,1.8570081406446048,1,5.295569675599995,195.34182466578346,205.49440248202808,6,1
uep000,5,2,8,SR,-22.0,11.0,2,1.7529532835805928,1,5.006001759291719,205.49440248202808,215.25335752490037,6,1
uep000,5,2,9,SR,-22.0,16.0,2,1.190014136055239,1,5.407312031962553,215.25335752490037,224.85068369291815,6,1
uep000,5,2,10,SR,-22.0,14.0,2,2.037882048562312,1,6.829361473717388,224.85068369291815,236.71792721519788,6,1
