subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor
uep002,2,3,1,RR,-19.0,-7.0,2,2.1809521191502688,1,5.381566946038189,249.51797745521534,260.0804965204038,6,1
uep002,2,3,2,RR,-24.0,4.0,2,1.687149391237942,1,6.707057117446157,260.0804965204038,271.4747030290879,6,1
uep002,2,3,3,RR,-13.0,-2.0,2,1.6087579384100013,1,5.129382966353445,271.4747030290879,281.21284393385133,6,1
uep002,2,3,4,RR,-14.0,4.0,2,1.649903094406824,1,6.613527594492407,281.21284393385133,292.47627462275057,6,1
uep002,2,3,5,RR,-27.0,9.0,2,1.4427716560477926,1,5.810517658369905,292.47627462275057,302.7295639371683,6,1
uep002,2,3,6,RR,-20.0,8.0,2,2.6467699956520754,1,6.358047559907005,302.7295639371683,314.7343814927273,6,1
uep002,2,3,7,RR,-23.0,5.0,2,1.5547504150863558,1,6.4785536121103355,314.7343814927273,325.767685519924,6,1
uep002,2,3,8,RR,-11.0,1.0,2,2.1370375256278678,1,5.555488056655795,325.767685519924,336.46021110220767,6,1
uep002,2,3,9,RR,-16.0,-3.0,2,1.8986671016673524,1,6.827004849002422,336.46021110220767,348.18588305287744,6,1
uep002,2,3,10,RR,-14.0,-2.0,2,1.0482735899990678,1,5.591020235221079,348.18588305287744,357.8251768780976,6,1
