subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor
uep002,1,1,1,RR,13.0,15.0,2,2.7139114292230273,1,6.665610702510019,16,28.379522131733047,6,7
uep002,1,1,2,RR,11.0,-1.0,2,2.8623142694304544,1,5.783854450910814,28.379522131733047,40.02569085207432,6,7
uep002,1,1,3,RR,16.0,7.0,2,2.0654165848342814,1,5.3988784182758724,40.02569085207432,50.48998585518447,6,7
uep002,1,1,4,RR,9.0,10.0,2,1.323232976139953,1,6.690538205894527,50.48998585518447,61.50375703721895,6,7
uep002,1,1,5,RR,14.0,14.0,2,1.0637941277737553,1,5.9419024465754156,61.50375703721895,71.50945361156812,6,7
uep002,1,1,6,RR,5.0,10.0,2,2.2711409913684832,1,5.56526521329834,71.50945361156812,82.34585981623495,6,7
uep002,1,1,7,RR,7.0,7.0,2,2.412680358840279,1,6.643563511927772,82.34585981623495,94.40210368700299,6,7
uep002,1,1,8,RR,10.0,7.0,2,2.3135341811633565,1,5.842848392680042,94.40210368700299,105.5584862608464,6,7
uep002,1,1,9,RR,1.0,5.0,2,1.4753049028612184,1,6.228389458299612,105.5584862608464,116.26218062200724,6,7
uep002,1,1,10,RR,7.0,7.0,2,2.1104704033950217,1,5.179066315658817,116.26218062200724,126.55171734106108,6,7
