subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor
uep002,2,1,1,SR,-0.0,-3.0,2,2.092636878114016,1,5.663311253290068,16,26.755948131404082,2,3
uep002,2,1,2,SR,-0.0,3.0,2,2.489122128974497,1,6.091422046905894,26.755948131404082,38.33649230728447,2,3
uep002,2,1,3,SR,-0.0,2.0,2,1.3995240659925843,1,6.487053491129998,38.33649230728447,49.22306986440706,2,3
uep002,2,1,4,SR,-0.0,1.0,2,2.9247873919253395,1,6.174725129462226,49.22306986440706,61.322582385794625,2,3
uep002,2,1,5,SR,-0.0,3.0,2,2.8649227520222302,1,6.969594641491946,61.322582385794625,74.15709977930881,2,3
uep002,2,1,6,SR,-0.0,-2.0,2,2.4300620948311247,1,6.065410626168408,74.15709977930881,85.65257250030834,2,3
uep002,2,1,7,SR,-0.0,4.0,2,2.122508598899316,1,5.928320076266258,85.65257250030834,96.70340117547391,2,3
uep002,2,1,8,SR,-0.0,0.0,2,2.854583342082279,1,6.191496487138198,96.70340117547391,108.74948100469439,2,3
uep002,2,1,9,SR,-0.0,5.0,2,2.3604515165389373,1,6.170755667651973,108.74948100469439,120.2806881888853,2,3
uep002,2,1,10,SR,-0.0,4.0,2,1.2488498159031844,1,6.1587500872700875,120.2806881888853,130.68828809205857,2,3
