subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor
uepP002,7,1,1,SR,10.0,-9.0,2,2.2805753815509937,1,2.4323155302649937,16,23.712890911815986,7,3
uepP002,7,1,2,SR,10.0,-5.0,2,1.511099225475647,1,2.8036840709264346,23.712890911815986,31.027674208218066,7,3
uepP002,7,1,3,SR,10.0,-4.0,2,2.8518316359464713,1,3.6717283464996715,31.027674208218066,40.55123419066421,7,3
uepP002,7,1,4,SR,10.0,-5.0,2,1.0099359478505852,1,2.871810652705398,40.55123419066421,47.432980791220196,7,3
uepP002,7,1,5,SR,10.0,-8.0,2,2.7055188837013393,1,3.1265976747017517,47.432980791220196,56.26509734962328,7,3
uepP002,7,1,6,SR,10.0,-3.0,2,2.7446089106809675,1,2.765026843036817,56.26509734962328,64.77473310334106,7,3
uepP002,7,1,7,SR,10.0,-4.0,2,1.8055474998944658,1,3.805716435245532,64.77473310334106,73.38599703848105,7,3
uepP002,7,1,8,SR,10.0,-5.0,2,1.1714107265818643,1,2.906126957047632,73.38599703848105,80.46353472211055,7,3
uepP002,7,1,9,SR,10.0,-3.0,2,2.596290984224619,1,3.2974365569967805,80.46353472211055,89.35726226333196,7,3
uepP002,7,1,10,SR,10.0,-6.0,2,1.512607848879944,1,3.8649652871621507,89.35726226333196,97.73483539937405,7,3
